Month,TagName,Questions
2014-07-01,python,9989
2014-07-01,r,2650
2014-08-01,python,9160
2014-08-01,r,2490
2014-09-01,python,8822
2014-09-01,r,2383
2014-10-01,python,9637
2014-10-01,r,2793
2014-11-01,python,9627
2014-11-01,r,2721
2014-12-01,python,9091
2014-12-01,r,2370
2015-01-01,python,9741
2015-01-01,r,2710
2015-02-01,python,10245
2015-02-01,r,2983
2015-03-01,python,11672
2015-03-01,r,3576
2015-04-01,python,11511
2015-04-01,r,3338
2015-05-01,python,11262
2015-05-01,r,3437
2015-06-01,python,11859
2015-06-01,r,3444
2015-07-01,python,12377
2015-07-01,r,3991
2015-08-01,python,11278
2015-08-01,r,3503
2015-09-01,python,11019
2015-09-01,r,3344
2015-10-01,python,12552
2015-10-01,r,3695
2015-11-01,python,12360
2015-11-01,r,3555
2015-12-01,python,11697
2015-12-01,r,3192
2016-01-01,python,12409
2016-01-01,r,3555
2016-02-01,python,13311
2016-02-01,r,3614
2016-03-01,python,14144
2016-03-01,r,4063
2016-04-01,python,13732
2016-04-01,r,4154
2016-05-01,python,13191
2016-05-01,r,3809
2016-06-01,python,12979
2016-06-01,r,3874
2016-07-01,python,12894
2016-07-01,r,3757
2016-08-01,python,12965
2016-08-01,r,3799
2016-09-01,python,12404
2016-09-01,r,3306
2016-10-01,python,13574
2016-10-01,r,3795
2016-11-01,python,14254
2016-11-01,r,3567
2016-12-01,python,13099
2016-12-01,r,3159
2017-01-01,python,14346
2017-01-01,r,3508
2017-02-01,python,14848
2017-02-01,r,3694
2017-03-01,python,17206
2017-03-01,r,4621
2017-04-01,python,15716
2017-04-01,r,4276
2017-05-01,python,16244
2017-05-01,r,4336
2017-06-01,python,16108
2017-06-01,r,4475
2017-07-01,python,17006
2017-07-01,r,4602
2017-08-01,python,16540
2017-08-01,r,4590
2017-09-01,python,15526
2017-09-01,r,4241
2017-10-01,python,17048
2017-10-01,r,4564
2017-11-01,python,17066
2017-11-01,r,4538
2017-12-01,python,15031
2017-12-01,r,3728
2018-01-01,python,16318
2018-01-01,r,4212
2018-02-01,python,16423
2018-02-01,r,4525
2018-03-01,python,18011
2018-03-01,r,5113
2018-04-01,python,17060
2018-04-01,r,4758
2018-05-01,python,17693
2018-05-01,r,4750
2018-06-01,python,16897
2018-06-01,r,4517
2018-07-01,python,18014
2018-07-01,r,4430
2018-08-01,python,17906
2018-08-01,r,4150
2018-09-01,python,17086
2018-09-01,r,4023
2018-10-01,python,20284
2018-10-01,r,4874
2018-11-01,python,20240
2018-11-01,r,4814
2018-12-01,python,17689
2018-12-01,r,3801
2019-01-01,python,18991
2019-01-01,r,4532
2019-02-01,python,19705
2019-02-01,r,4917
2019-03-01,python,22588
2019-03-01,r,5161
2019-04-01,python,22481
2019-04-01,r,5354
2019-05-01,python,21705
2019-05-01,r,5027
2019-06-01,python,20009
2019-06-01,r,4610
2019-07-01,python,22810
2019-07-01,r,4908
2019-08-01,python,21193
2019-08-01,r,4624
